text,label
$PTCT: PTC Therapeutics announces that the FDA has granted priority review for the New Drug Application for... https://t.co/EIQ7MgrPSc,1
Invitae Corp. maintained as buy at Benchmark,1
Chain store sales cool down https://t.co/wNCTgnXdpu,0
"Hedge Funds Are Cashing Out Of Banc of California, Inc. (BANC)",0
Germany Supports Rescue Loan For Italy Through Euro Area Bailout Fund  https://t.co/Vigr6cgofO,1
Hedge Funds Are Warming Up To Eldorado Gold Corp (EGO) Again,1
Building permits rise to highest level since 2017,1
$UBER (-4.2% pre) Uber Loses London License Over Concerns for Rider Safety - BBG  https://t.co/zWmQdMXTcr,0
$ACB - Aurora Cannabis sets early conversion price; shares tick higher https://t.co/VvLbYjQbsc,1
Aimia gains 6.3% after settling with dissident shareholders,1
"$ZFGN Holding nicely its EMA50. With more than $2 per share in cash, a run to +$1 is likely at this point.",1
Sherwin-Williams cut from Conviction Buy at Goldman on valuation,0
Netflix Inc.’s internal data suggests the streaming giant hasn’t been hurt yet by the launch of rival services from… https://t.co/wz2tbKruNf,1
"EMERGING MARKETS-Stocks, currencies edge up on hopes of U.S.-China trade pact",1
Why Shares of NortonLifeLock Jumped Today,1
Mizuho raises Intel on aggressive price cuts,1
"Recent rally could be a 'bear market trap,' says Miller Tabak strategist https://t.co/Ey7k8tJapS by @inesreports https://t.co/Gs2m8Sf9jW",0
"Ubiquiti EPS misses by $0.06, misses on revenue",0
Vans parent VF Corp. says 60% of China owned and partnered stores are closed over coronavirus,0
Arbutus bails on AB-452; shares down 15% premarket,0
Amazon to create 500 new jobs in Florida as it plans to open a distribution center,1
"Tesla shares rise as Musk says Cybertruck orders hit 200,000",1
"As Liquidation Threat Looms, Jet Airways Bidders Still Not Ready",0
$GE (+0.3% pre) GE brings in shipper Maersk's CFO as finance head - Reuters  https://t.co/wLBOZIdjJu,1
"CIGNA EPS beats by $0.11, beats on revenue",1
"$YGYI non stop , unreal +250% ...... eyes on $CPHI another China play",1
Royal Mail Labor Troubles Put Long-Term Targets in Jeopardy,0
EUR/USD Daily Forecast – Euro Near 4-Month Low Ahead of NFP Report,0
CymaBay shares fall 77% on halted trial,0
CrowdStrike reported better-than-expected fiscal Q3 2020 results yesterday. “We think of ourselves as beyond just a… https://t.co/MyPorIzYlG,1
"The equity rally that’s built on hopes for a growth rebound won’t last as the U.S. economy is heading for a “mild recession""… https://t.co/TLe3JRpxoS",0
"OPEC, Russia and other oil producing nations have agreed to deeper production cuts in an attempt to support crude p… https://t.co/yY5TKhHz8Z",1
Treasury yields hold rise after housing starts,0
Trump Warms to Doing China Trade Deal Soon Ahead of Key Meeting,1
"The Dow closed 26 points lower today, or 0.1%, after it was up over 900 points earlier in the trading session",0
$WORX still liking and holding. Adding on any dip.,1
$OPK a great chart for technical traders..... Frost on the move !! https://t.co/EVpm3juHsb,1
TJX's stock gains 1.1% premarket after Q3 results,1
S&P 500 joins Dow in negative territory after setting fresh intraday records in early trading,0
Toyota says labor officials found it responsible for worker suicide,0
Goldman sees the economy surprising in 2020 and these stocks benefiting most from the rebound,1
"Wearables Sales Surge, Bolstering Apple Stock",1
$LB - L Brands pushed higher on report of strategic review https://t.co/FhPu4fhahg,1
"UPDATE 2-UK lawmaker blames HSBC, Stanchart, Baroda in S.Africa corruption",0
Grain Futures Rise on U.S.-China Trade Hopes  #Stock #MarketScreener https://t.co/RGHc4FOFhO https://t.co/H8l70569iI,1
$BAM - 3 Reasons Brookfield Is A Must-Own Dividend-Growth Stock. Get more info on Seeking Alpha:… https://t.co/Rdd9SbK7JJ,1
Wells Fargo Downgrades Netflix $NFLX to Underperform but sees as a takeover target. NFLX could get acquired: NFLX i… https://t.co/vuNpYwRDSg,0
Walt Disney stock price target raised to $143 from $141 at Imperial Capital,1
Equinor swings to surprise loss; impairments total $1.4B,0
"Dow opens about 91 points, 0.3%, lower",0
Why Deere & Company’s (NYSE:DE) Return On Capital Employed Might Be A Concern,0
"Ban on flavored vapes could lead to loss of 150,000 jobs, $8.4 billion sales hit: report https://t.co/rBpi75OKM5 https://t.co/oXLLryarER",0
U.S. Stocks Open Higher as Risk Appetite Improves #SP500 #index #MarketScreener https://t.co/NXv3PaJHsD https://t.co/yxgg3k0IBu,1
Heard on the Street: Prada has been the best performing luxury stock over the past three months https://t.co/2jXzZKTnWX,1
Mitek Systems stock price target cut to $11 from $14 at Benchmark,0
STOCKS AT THE CLOSE: -Dow up 0.60% -Nasdaq up 1.13 % -S&P up 0.73% https://t.co/3W0Y3ZI0IB,1
Fed's Daly says U.S. economy well placed to weather storms https://t.co/46F3sPCsXW https://t.co/Hn3cXkJQhp,1
Why Target Earnings Are Phenomenal,1
Madison Square Garden Q2 revenue $628.8 mln vs. $632.2 mln,0
Walmart's Jet is ending its fresh-food delivery business just a year after introducing the service in New York City https://t.co/Y8sI7u2mmB,0
$EE (+0.0% pre) El Paso Electric and IIF Move Towards Final Steps in Acquisition Process - CTFN  https://t.co/n6sVkgYTNE,1
HSBC agrees to pay $192 million to resolve U.S. tax probe https://t.co/UP1jTOYd2x via @business https://t.co/FikIgPdI06,1
Global Stocks Gain as China Moves to Boost Intellectual Property Rights #index #MarketScreener… https://t.co/eFfDIA7DkZ,1
"CNH Industrial EPS misses by $0.01, misses on revenue",0
Banks could lose over $100 Million from loan made to China's Luckin Coffee chairman https://t.co/8GODE9VpnT,0
WWE stock price target cut to $57 from $79 at Benchmark,0
SI-BONE up 6% on new coverage of iFuse implant,1
Kudlow Says Xi Reassured Trump Trade Purchases Goal Will Be Met,1
Pizza Hut's Struggling Turnaround Weighs on Yum Brands Results,0
Siemens Gamesa's Shares Jump Following Speculation on Siemens' Acquisition #Siemens #Stock #MarketScreener… https://t.co/G8A3egiI6f,1
$KRTX - Karuna Therapeutics: Fundraising Makes For Buying Opportunity. Continue reading: https://t.co/fgZAvNdxbD #markets #business #economy,1
"Upland Software Acquires Localytics, Raises Guidance",1
Shares of mattress company Casper fall below IPO price in Day 2 on NYSE,0
Mid-Afternoon Market Update: NASDAQ Rises Over 2%; Myomo Shares Spike Higher,1
Stock Market Update: Semiconductor stocks underperform; ICE calls off eBay interest,0
Brazilian food delivery app iFood looks to grow in retail in 2020,1
Coronavirus muddies U.S. economic data as business closures push down response rates https://t.co/GiDjLCZqKr https://t.co/7cgvSzJeM0,0
$PIR - Pier 1 Imports gains after report of Guggenheim engagement https://t.co/7iHoWPzrJp,1
Intelsat -17.5% as Pai calls for public C-band auction,0
Stock Market Update: Weekly jobless claims drop below consensus,1
Schweizerische Nationalbank : Switzerland Loses Grip on World's Lowest Borrowing Costs -- ...… https://t.co/fuN3T0obd5,0
Gorman-Rupp slips 6% post Q4 results miss,0
Transocean started at sell with $3 stock price target at Deutsche Bank,0
"While Risks Remain, VBI Vaccines Stock Is a Buy at Today’s Prices",1
$USO $OIL $UCO - Crude inventories build sharply https://t.co/Ze5rjTzPYv,0
Morgan Stanley Raises Fortinet's Price Target After Bullish Analyst Day,1
Asian shares rise as 'phase one' trade deal fans confidence,1
Rains bring drought relief and hope to Australian farmers https://t.co/eTC9tqtevp,1
October Credit Card Usage Surges To All Time HIgh As Americans Regain Their Spending Mojo https://t.co/chtJ2kmqyk,1
$CIFS deserves your attention next week. Im buying. Loading zone. NOTE: Some China names have been hot lately. https://t.co/WO5KedKeZu,1
Purple Innovation initiated at overweight with $12 price target at KeyBanc Capital,1
$KOS - Kosmos inks Greater Tortue LNG supply deal with BP https://t.co/0a3CT4hQP6,1
U.S. growth outlook in 2020 improves despite trade risk: Fannie Mae,1
Oil futures finish lower after posting 2 consecutive weekly gains,0
Majority of U.S. firms in China see revenue hit from coronavirus: AmCham survey,0
Home Depot’s Lower Sales Growth Forecast Highlights The Lack Of Growth In U.S. Corporate Earnings,0
"Stock Market Live Updates: Wall Street sets new highs despite Home Depot, Kohl's",1
"Blue Apron to offer 'diabetes-friendly' menus this month, stock rallies",1
China tariff cut buoys stocks as investors look beyond virus,1
"Canada Goose sees hit to 2020 profit, sales from coronavirus",0
"Hedge Funds Are Betting On Argan, Inc. (NYSEAMEX:AGX)",1
Stock futures move higher as trade deal hopes rise #economy #MarketScreener https://t.co/ccieGNw97o https://t.co/4L2S3ERepE,1
"$UVXY - UVXY: Sell, And Sell Short. Read more and sign up for updates: https://t.co/UcrJxea8AC #investing #finance #trading",0
"Casper Sleep shares slide 13% on second day of trading, falling below $12 IPO issue price",0
Berry Petroleum upgraded to sector weight from underweight at KeyBanc Capital,1
$MTLS - Piper hits the Materialise sidelines https://t.co/qlFxZuhkrt,0
"ArcelorMittal Surges as Steel Outlook Brightens, Debt Drops",1
$CY (+1.7% pre) Infineon Technologies $INFN : announces final regulatory approval for acquisition of Cypress Semico… https://t.co/PJDZnNMXdG,1
"Royal Caribbean cuts earnings guidance, warns more cruises may be canceled amid coronavirus uncertainty",0
Here's why Americans will probably spend more than $2 billion on Christmas trees this year: https://t.co/DwUEBRsEtY https://t.co/eiy3rF5Cev,1
"US stocks had their best day in two weeks, closing near session highs on optimism about a slowdown in new coronavir… https://t.co/A6uo1rzZpn",1
"Home Depot sales miss, shares plunge",0
STOCKS NOW:  - Dow down 432.22 points  - Nasdaq down 111.22  - S&P down 43.90 https://t.co/lJ1NdTRaQH,0
Tesla stock rises on Shanghai factory optimismÃ¢â‚¬â€what to watch now $TSLA (via @TradingNation) https://t.co/CENYtEsk81,1
